Edge, edge1, edge1, edge1, edge1, edge1, edge1, edge1, edge2, edge2, edge2, edge2, edge2, edge2, edge2, edge2
Device, AmmeterGen1Sensor0, ThreePhaseSwitchGen1Sensor0, ThreePhaseSwitchGen1Sensor1, ThreePhaseSwitchGen1Sensor2, VoltmeterGen1Sensor0, GeneratorGen1Sensor0, GeneratorGen1Sensor1, VoltmeterGen1Sensor0, WattmeterGen1Sensor0, ThreePhaseAmmeterGen1Sensor0, ThreePhaseAmmeterGen1Sensor1, ThreePhaseAmmeterGen1Sensor2, ThreePhaseSwitchGen1Sensor0, ThreePhaseSwitchGen1Sensor1, ThreePhaseSwitchGen1Sensor2
t0, 107.0, 0.0, 0.1, 0.0, 186.0, 0.5, 0.1, 240.0, 90.0, -66.0, -215.0, -158.0, 110.0, 136.0, -97.0
t1, -186.0, ,,, -68.0, , , -37.0, -144.0, 156.0, 140.0, 158.0, -234.0, 177.0, -142.0
t2, -12.0, ,,, -180.0, , , -27.0, -157.0, 81.0, 34.0, -50.0, 244.0, 89.0, -262.0
t3, -125.0, ,,, 17.0, , , -224.0, -159.0, 269.0, 109.0, 134.0, -167.0, 121.0, 169.0
t4, 49.0, ,,, 300.0, , , 34.0, 295.0, -108.0, 296.0, -164.0, -171.0, 108.0, -177.0
t5, -220.0, ,,, 53.0, , , -82.0, 46.0, -221.0, -18.0, -220.0, -19.0, -118.0, 295.0
t6, 292.0, ,,, -41.0, , , -292.0, -19.0, -45.0, -226.0, -120.0, 92.0, -215.0, 258.0
t7, -116.0, ,,, -3.0, , , 273.0, -141.0, 106.0, -135.0, -11.0, -109.0, -248.0, -238.0
t8, 75.0, ,,, 71.0, , , 18.0, 108.0, 21.0, 197.0, -139.0, -51.0, 238.0, 131.0
t9, -45.0, ,,, -113.0, , , 18.0, 112.0, -183.0, -144.0, -234.0, -192.0, -34.0, 135.0
t10, 36.0, ,,, -101.0, , , -128.0, -126.0, 160.0, 257.0, 26.0, 151.0, -72.0, 40.0
