Edge, edge1, edge1, edge1, edge1, edge1, edge1, edge1, edge2, edge2, edge2, edge2, edge2, edge2, edge2, edge2
Device, AmmeterGen1Sensor0, ThreePhaseSwitchGen1Sensor0, ThreePhaseSwitchGen1Sensor1, ThreePhaseSwitchGen1Sensor2, VoltmeterGen1Sensor0, GeneratorGen1Sensor0, GeneratorGen1Sensor1, VoltmeterGen1Sensor0, WattmeterGen1Sensor0, ThreePhaseAmmeterGen1Sensor0, ThreePhaseAmmeterGen1Sensor1, ThreePhaseAmmeterGen1Sensor2, ThreePhaseSwitchGen1Sensor0, ThreePhaseSwitchGen1Sensor1, ThreePhaseSwitchGen1Sensor2
t0,0,0,0,0,299.99990487955,10,3,399.999873172734,1436.56365632666,0,12.998337000844,-12.9744252433455,1,1,0
t1,0.0998334166468282,,,,298.525004943054, , ,398.033339924072,1424.74823895769,1.49750124970242,12.1860262352905,-13.6611100554256,,,
t2,0.198669330795061,,,,294.067341836414, , ,392.089789115218,1463.62078992727,2.98003996192592,11.2519567237587,-14.2112975715945,,,
t3,0.29552020666134,,,,286.671455055883, , ,382.228606741178,1439.53772394528,4.43280309992009,10.2054613800454,-14.6194905000584,,,
t4,0.38941834230865,,,,276.411241857419, , ,368.548322476558,1475.42981973664,5.84127513462976,9.0569964396998,-14.8816103120068,,,
t5,0.479425538604203,,,,263.389218899723, , ,351.185625199631,1407.8666173594,7.19138307906305,7.81803698477367,-14.995037992924,,,
t6,0.564642473395035,,,,247.735497931682, , ,330.313997242243,1409.21189976976,8.46963710092553,6.50096228859513,-14.9586402109164,,,
t7,0.644217687237691,,,,229.606485758776, , ,306.141981011701,1421.63476379463,9.66326530856537,5.11893212616136,-14.7727806405904,,,
t8,0.717356090899523,,,,209.183321477981, , ,278.911095303975,1445.98160386548,10.7603413634928,3.68575528601698,-14.4393163293356,,,
t9,0.783326909627483,,,,186.670066595791, , ,248.893422127722,1442.33762479846,11.7499036444123,2.21575159740344,-13.9615791423215,,,
t10,0.841470984807896,,,,162.291666113096, , ,216.388888150795,1402.77094489202,12.6220647721184,0.723608851258744,-13.3443424716019,,,
t11,0.891207360061435,,,,136.291700949092,,,181.722267932123,1477.20678882911,13.3681104009215,-0.77576395533445,-12.5937735419591,,,
t12,0.932039085967226,,,,108.92995416125,,,145.239938881667,1431.24180833445,13.9805862895084,-2.26738558491941,-11.7173717900331,,,
