msize,bsize,average_time,std_dev
1,1,60.7,4.83160888777687
1,4,60.4,6.518350166176169
1,16,79.4,6.619835513230085
1,64,680.7,13.004700005083633
1,256,24505.0,69.98888800691468
2,1,85.6,11.226951698677805
2,4,88.7,14.142528455375691
2,16,156.0,8.70504323813373
2,64,2953.1,27.54975297328252
2,256,136996.4,1329.1414271375838
4,1,256.0,29.612309752683746
4,4,274.5,36.59158980482324
4,16,728.2,24.06380407721661
4,64,17751.4,340.20523217610867
4,256,1272028.7,9286.000802282972
8,1,4120.666666666667,900.9718826541333
8,4,8455.0,1452.3973285571685
8,16,253808.3,9434.573146441526
8,64,218533.3,21627.88306818564
