msize,bsize,average_time,std_dev
1,1,59.8,5.159672685570493
1,4,60.1,5.10881590977792
1,16,77.4,9.489175119284313
1,64,551.1,19.450506991392853
1,256,25525.0,143.6569989013182
2,1,112.7,10.708771067577166
2,4,99.6,8.355969256897863
2,16,184.0,19.183326093250876
2,64,5379.0,35.66822426505449
2,256,278723.5,2353.378387198568
4,1,394.4,31.287910338233413
4,4,395.3,19.488173051594366
4,16,1255.2,36.07954175614393
4,64,44743.1,738.3689908620667
4,256,2269535.3,21634.385465169922
8,1,2595.9,78.93239019706816
8,4,2672.4,66.11471512118581
8,16,8347.3,384.3574869542387
8,64,272094.2,24927.78540237112
8,256,16922696.0,0
