msize,bsize,average_time,std_dev
1,1,81.3,11.851394667107984
1,4,77.4,9.22797678559908
1,16,94.9,10.928555866780082
1,64,576.2,7.568942389058652
1,256,25563.1,1122.3293683723648
2,1,118.5,20.277245046274572
2,4,113.9,17.168770097670556
2,16,150.1,17.168770097670556
2,64,1692.8,91.91880474998936
2,256,67364.4,1110.0837005479461
4,1,379.3,61.081093637884386
4,4,381.5,56.78076747945166
4,16,597.7,77.52139489629083
4,64,11211.5,97.926559783907
4,256,710069.9,8027.359943066933
8,1,1775.3,129.09604521010274
8,4,1791.8,96.22173466645788
8,16,3521.3,279.25020640597165
8,64,108060.6,5943.369007184019
